"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试批量新增果品功能","6899","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10505","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","15293","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14867","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8551","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9494","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","9158","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6020","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11660","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果树功能","8312","批量搜索果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14654","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5448","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11067","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10584","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5997","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6458","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","6267","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量搜索果品功能","5450","批量搜索果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","10403","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11074","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14675","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11978","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14603","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果品功能","11100","批量新增果品","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14977","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14860","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
"测试批量新增果树功能","14629","批量新增果树","test_cases.web","2026-01-13","passed","2026-01-13","TestWebManager","test_web_manager","",""
